Сценарий;Материал;Пролет;Длина;Высота;Шаг_рам;Террен;w0;Sg;Му2;N_total;N_snow;N_wind;N_roof;Длина_ската;Группа;Профиль;Шаг_мм;K_max;Лимит;Масса_кг
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С345 rect_tube;пр.160х120х4;1650;0.7584;прочность;25704.00
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С255Б beam_normal;35 Б2;1475;0.8439;гибкость;26784.00
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С255Б beam_wide;25 Ш1;1475;0.7974;гибкость;23814.00
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С255Б beam_column;20 К1;1475;0.6680;гибкость;22356.00
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С255Б square_tube;— нет решения —;;;;
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С255Б rect_tube;— нет решения —;;;;
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С355Б beam_normal;35 Б2;1475;0.8439;гибкость;26784.00
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С355Б beam_wide;25 Ш1;1475;0.7974;гибкость;23814.00
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С355Б beam_column;20 К1;1475;0.6680;гибкость;22356.00
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С355Б square_tube;— нет решения —;;;;
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С355Б rect_tube;— нет решения —;;;;
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С245 beam_normal;— нет решения —;;;;
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С245 beam_wide;— нет решения —;;;;
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С245 beam_column;— нет решения —;;;;
